@context,@type,name,brand,sku,mpn,description,url,image,itemCondition,offers,price,priceCurrency,availability,priceValidUntil,gtin14,date
https://schema.org,Offer,Amla (Price per 200 gms),"{'@type': 'Brand', 'name': 'FFG'}",AM2,,"Health benefits of Amla-:


It improves eyesight. ...


It burns fat. ...


It builds immunity. ...


Amla beautifies hair. ...


It improves skin. ...


It helps manage chronic conditions. 


It relieves pain.

",https://fastandfresh.in/products/amla?variant=33150689575000,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/Amla_501x.jpg?v=1598459370,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '14.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/amla?variant=33150689575000', 'sku': 'AM2', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",14.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Anar (Price per 500 gms),"{'@type': 'Brand', 'name': 'FFG'}",AN1,,"Health benefits of pomegranate (Anar)-:


Protects us from free radicals. ...


Prevention of atherosclerosis. ...



It acts like an oxygen mask. ...


It prevents arthritis. ...


Fights erectile dysfunction. ...


Fights heart disease and prostate cancer. ...

",https://fastandfresh.in/products/anar-kandhari?variant=32606824955992,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/anar-pomegranate_500x.jpg?v=1598459370,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '128.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/anar-kandhari?variant=32606824955992', 'sku': 'AN1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",128.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Apple Golden (Price per kg),"{'@type': 'Brand', 'name': 'FFG'}",AP4,,"Interesting Health Benefits Of Golden Apple-:


Boosts Immune System 

Helps Treat Cough 
Improves Skin Health
Helps Treat Digestive Problems 
Provides Energy
Helps in Weight Loss
",https://fastandfresh.in/products/apple-golden-price-per-kg?variant=37987059564735,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/Apples_Golden_500x.jpg?v=1610774031,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '139.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/apple-golden-price-per-kg?variant=37987059564735', 'sku': 'AP4', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",139.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Apple Green Imported (Price per 500 gm),"{'@type': 'Brand', 'name': 'FFG'}",AP1,,"Some amazing Health benefits of (Apple grenny smith)-:


Reduces the risk of cancer.


Detoxifies the liver.


Strengthens the Bones.


Improves Digestion.


Improves Vision.


 ",https://fastandfresh.in/products/apple-green-imported-price-per-kg?variant=32630689955928,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/greenapple_500x.jpg?v=1593016076,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '112.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/apple-green-imported-price-per-kg?variant=32630689955928', 'sku': 'AP1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",112.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Apple Royal Gala (Price per 500 gms),"{'@type': 'Brand', 'name': 'FFG'}",AP3,,"Health Benefits of New Zealand Royal Gala Apples-:



 Vitamin C: New Zealand Gala Apples are home for vitamin C. 



 Fat and Calories: Finally, for fat and calories, these apples are strongly recognized.


Carbohydrates: Royal Gala apples also have a space for carbohydrates.


 
 









",https://fastandfresh.in/products/apple-royal-gala-price-per-500-gms?variant=32773052694616,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/APPLEGALA_500x.jpg?v=1593016077,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '119.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/apple-royal-gala-price-per-500-gms?variant=32773052694616', 'sku': 'AP3', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",119.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Apple Shimla (Price per kg),"{'@type': 'Brand', 'name': 'FFG'}",AP9,,"Surprising and Impressive Health Benefits of Apples Shimla -:


Decrease risk of diabetes. ...


Control your weight. ...


Keeps Teeth Healthy. ...


Reduces the risk of heart-related diseases. ...

",https://fastandfresh.in/products/apple-shimla-price-per-500gms?variant=37475753951423,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/APPLESHIMLA_500x.jpg?v=1599669042,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '195.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/apple-shimla-price-per-500gms?variant=37475753951423', 'sku': 'AP9', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",195.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Apple Washington (Price per 500 gms),"{'@type': 'Brand', 'name': 'FFG'}",AP4,,"Washington Apple Health benefits-:


Apples May Be Good for Weight Loss. ...


Apples May Be Good for Your Heart. ...


They're Linked to a Lower Risk of Diabetes. ...


They May Have Prebiotic Effects and Promote Good Gut Bacteria. ...


Substances in Apples May Help Prevent Cancer. ...

",https://fastandfresh.in/products/apple-washington?variant=32610329657432,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/APPLEWASHINGTON_500x.jpg?v=1594226544,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '146.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/apple-washington?variant=32610329657432', 'sku': 'AP4', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",146.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Apricot Dry (Price per 200 gms),"{'@type': 'Brand', 'name': 'FFG'}",APR2,,"Dried Apricots Contain High Levels of Nutrients-:


Encourages cell growth..


Builds up the immune system.


Maintains good vision..


Keeps bones healthy


Assists in reproduction

",https://fastandfresh.in/products/apricot-dry-fresh-price-per-200gms?variant=33193324019800,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/DRY_500x.jpg?v=1598459423,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '148.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/apricot-dry-fresh-price-per-200gms?variant=33193324019800', 'sku': 'APR2', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",148.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Arbi (Price per 250 gms),"{'@type': 'Brand', 'name': 'FFG'}",AR1,,"Health Benefits Of Arbi (Taro)-:


Helps In Combating Diabetes. ...


Protects Heart. ...


Provides A Number Of Antioxidants. ...


May Control Hypertension.

",https://fastandfresh.in/products/arbi-price-per-250-gms?variant=32787439779928,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/arbi_500x.jpg?v=1598459394,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '16.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/arbi-price-per-250-gms?variant=32787439779928', 'sku': 'AR1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",16.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Asparagus Thai (Price is Per 250gms),"{'@type': 'Brand', 'name': 'FFG'}",AS1,,Imported from Thai Land,https://fastandfresh.in/products/asparagus-thai?variant=32604289990744,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/ASPRAGUS_450x.jpg?v=1604463303,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '340.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/asparagus-thai?variant=32604289990744', 'sku': 'AS1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",340.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Avacado Hass Imported (Price per Pc/Approx.250gms to 300gms),"{'@type': 'Brand', 'name': 'FFG'}",AV1,,"Imported from Peru. Fresh Stock (Limited Qty.)
",https://fastandfresh.in/products/avacado-hass-imported-price-per-pc?variant=32875908038744,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/Avocado-HASS_500x.jpg?v=1593016080,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '299.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/avacado-hass-imported-price-per-pc?variant=32875908038744', 'sku': 'AV1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",299.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
